and	in
effective	učinkovito
solution	rešitev
solution	raztopina
fashion	fashion
fashion	modno
fashion	modna
fashion	moda
fashion	modo
foot	nogo
foot	noga
foot	stopalo
orange	oranžno
orange	oranžni
orange	pomaranča
orange	oranžne
orange	oranžna
argentina	argentina
argentina	argentino
brief	kratek
performances	nastope
adult	odraslih
adult	odrasel
adult	odrasli
identity	identiteto
identity	identiteta
singers	pevke
singers	pevci
inspired	navdih
facility	objekt
transfer	premestitev
transfer	prenos
egypt	egipt
cells	celice
cells	celic
patrick	patrick
patrick	patrik
quebec	quebec
connecticut	connecticut
connecticut	connecticutu
anthony	anthony
permanent	trajni
permanent	trajen
permanent	trajna
permanent	trajno
permanent	stalna
phase	faza
phase	fazo
audience	občinstvo
audience	gledalci
motion	predlog
motion	gibanje
blues	blues
hungarian	madžarsko
hungarian	madžarski
hungarian	madžarska
arab	arabska
arab	arabski
arab	arabec
trains	vlaki
trains	vlake
sets	določa
sets	kompleti
sets	nizi
setting	nastavljanje
setting	nastavitev
eyes	oci
eyes	oči
studios	studios
criminal	kriminalno
criminal	kazensko
criminal	kriminalec
criminal	kazenskih
commonwealth	commonwealtha
communication	obveščanje
communication	komunikacija
communication	komuniciranje
communication	sporazumevanje
communication	sporočanje
scope	obseg
accused	obtožen
accused	obtožena
accused	obtoženi
divisions	delitve
divisions	divizije
divisions	oddelki
accept	sprejeti
accept	sprejmi
warning	opozorilo
alan	alan
objects	objekti
objects	predmete
objects	predmeti
objects	predmetov
diego	diego
contest	tekmovanje
contest	natečaj
contest	natečaja
fighter	borka
fighter	borca
fighter	borec
finds	najde
coaches	trenerjev
coaches	trenerji
beat	ritem
beat	premagal
extremely	izjemno
extremely	izredno
ford	ford
swiss	švicarski
swiss	švicarska
sorry	žal
houston	houston
worldwide	svetovna
worldwide	svetovno
cathedral	katedrala
cathedral	katedrali
cathedral	katedralo
losing	izgublja
advance	vnaprej
reality	resničnost
reality	realnost
reality	stvarnost
broadcasting	oddajanje
adam	adam
vandalism	vandalizem
enemy	sovražnik
enemy	sovražniki
youtube	youtube
assessed	ocenjeno
assessed	ocenjeni
assessed	ocenjen
assessed	ocenjena
billion	milijard
billion	milijarde
billion	milijarda
buried	zakopan
buried	zakopano
buried	pokopani
buried	pokopan
buried	pokopana
belgium	belgijo
belgium	belgija
respect	spoštovanja
respect	spoštovati
respect	spoštovanje
respect	spoštuj
rare	redki
rare	redko
detroit	detroit
graduate	diplomiral
colleges	fakultete
colleges	kolegijev
explain	razloži
explain	pojasni
authorities	oblasti
killing	ubijanje
killing	uboj
maximum	maksimum
maximum	največja
fan	ventilator
fan	oboževalec
fan	navijač
fan	oboževalka
notify	obvestite
notify	obvesti
painter	slikar
hamilton	hamilton
returning	vračanje
attempted	poizkus
attempted	poskus
universe	vesolje
universe	vesolju
obvious	očitno
obvious	očiten
obvious	očitna
suffered	trpel
suffered	trpela
pieces	koščki
pieces	kosi
apply	uveljavi
actresses	igralke
competitions	tekmovanj
competitions	tekmovanja
aid	pomoč
aid	pomoči
driver	voznika
driver	voznik
driver	strojevodja
driver	šofer
folk	folk
dan	dan
khan	khan
khan	kan
baby	otrok
baby	punčka
baby	dojenček
denmark	dansko
denmark	danski
denmark	danska
tokyo	tokio
billboard	pano
calling	kličem
calling	klicanje
calling	kliče
anne	anne
anne	ana
danish	dansko
danish	danske
danish	danski
wants	hoče
wants	želi
formula	formula
formula	formulo
interior	notranjosti
interior	notranja
interior	notranjost
interior	notranje
interior	notranji
kevin	kevin
weather	vreme
powerful	močan
powerful	močni
powerful	močno
powerful	mogočna
powerful	močna
muslim	muslimani
muslim	musliman
registered	registrirana
registered	registrirano
registered	registrirani
registered	registriran
publisher	založnik
publisher	izdajatelj
sounds	zvoki
sounds	zveni
eric	eric
eric	erik
approved	odobrena
approved	odobrene
approved	odobreni
approved	odobreno
approved	odobren
achieved	dosežene
achieved	dosežen
achieved	dosežena
achieved	doseženo
achieved	doseženi
douglas	douglas
fund	sklad
portugal	portugalska
portugal	portugalsko
portugal	portugalski
portugal	portugalske
athletes	športniki
athletes	športnike
bird	ptica
bird	ptiček
bird	bird
bird	ptič
bands	trakovi
audio	zvok
audio	avdio
cat	mačji
cat	muca
cat	maček
cat	mačka
cat	cat
bureau	predsedstvo
bureau	urad
bureau	biro
centuries	stoletja
valid	veljavna
valid	veljaven
valid	veljavni
valid	veljavno
chemical	kemikalija
chemical	kemična
chemical	kemijsko
chemical	kemično
items	postavk
items	predmeti
items	postavke
lane	lane
holding	držala
holding	gospodarstvu
holding	držanje
holding	holding
holding	gospodarstvo
counties	okrožjih
counties	okrožja
update	posodobi
update	posodabljanje
update	posodobitev
ncaa	ncaa
speak	govori
speak	spregovori
domestic	domači
domestic	domačih
domestic	domače
domestic	domača
false	lažno
equivalent	ekvivalent
equivalent	enakovreden
equivalent	enakovredna
equivalent	enakovredni
equivalent	enakovredno
caught	ujeta
caught	ujel
caught	ujeli
caught	ujet
christ	kristus
puerto	puerto
perform	opravljanje
partner	partnerja
partner	partner
partner	partnerka
romania	romunija
aviation	letalsko
aviation	letalstvo
aviation	aviation
aviation	letalski
failure	neuspeh
failure	izpad
ward	ward
strength	jakost
strength	trdnost
strength	moč
knight	vitez
nominations	kandidature
hungary	madžarsko
hungary	madžarska
concern	skrb
concern	zaskrbljenost
recordings	posnetki
juan	juan
juan	juana
functions	funkcije
functions	funkcij
mississippi	mississippi
calls	klicev
calls	klice
calls	klici
criticism	kritika
criticism	kritiko
criticism	kritik
criticism	kritike
magic	čarobno
magic	čarovnija
magic	magic
magic	magično
magic	magijo
gordon	gordon
treaty	pogodba
antonio	antonio
selection	izbira
selection	izbor
selection	izbiranje
rear	zadaj
colonial	kolonialni
motor	motor
obtained	pridobljena
obtained	pridobljen
obtained	pridobljeno
circuit	vezja
circuit	vezje
circuit	dirkališče
wish	željo
wish	želja
compilation	pripravljanje
harvard	harvardu
harvard	harvard
islamic	islamske
islamic	islamski
determined	odločna
determined	odločena
determined	odločni
determined	odločen
geography	zemljepis
arkansas	arkansas
fuel	gorivo
fuel	goriva
artillery	topništvo
medieval	srednjeveški
locations	lokacij
locations	lokacije
inclusion	vključitev
inclusion	vključenost
inclusion	vključevanje
recognition	prepoznava
recognition	priznavanje
recognition	priznanje
recognition	prepoznavanje
northeast	severovzhodno
chamber	dvorani
chamber	komora
chamber	komoro
moment	moment
moment	trenutek
somewhat	nekoliko
grounds	podlaga
grounds	razlogi
anyway	kakorkoli
anyway	itak
succeeded	uspeli
succeeded	uspela
succeeded	uspelo
succeeded	uspel
historian	zgodovinar
condition	pogoj
condition	stanje
physics	fiziko
physics	fiziki
physics	fizika
newspapers	časopisi
represent	zastopati
represent	predstavljajo
allen	allen
watch	opazuj
watch	glej
watch	ura
watch	glejte
kitt	kitt
protect	zaščiti
grey	sive
grey	sivo
grey	sivi
grey	grey
grey	siva
launch	izstrelitev
dave	dave
dave	dava
philip	philip
philip	filip
iraq	irak
iraq	iraku
changing	spreminjanje
changing	spreminja
ukraine	ukrajina
ukraine	ukrajino
municipalities	občin
municipalities	občine
mix	premeša
mix	mix
mix	mešanica
shift	izmeno
shift	premik
shared	skupna
shared	deljeno
shared	deljena
austrian	avstrijski
austrian	avstrijska
austrian	avstrijsko
door	vrata
investigation	preiskavo
investigation	preiskava
investigation	preiskovanje
investigation	preiskave
investigation	raziskava
institution	nosilec
institution	zavod
institution	institucijo
institution	ustanova
institution	institucija
princess	princesa
princess	princess
princess	princeske
princess	princeska
trail	sled
parks	parke
parks	parki
parks	parkov
applications	vloge
applications	prošnje
applications	prijave
applications	aplikacije
hundred	sto
aired	predvajan
requirements	zahteve
talking	govorjenje
kim	kim
ltd	ltd
metres	metrov
gray	gray
gray	siv
gray	siva
gray	sivo
gray	sivi
sector	sektor
dean	dekan
dean	dean
agricultural	kmetijska
agricultural	kmetijske
agricultural	kmetijsko
agricultural	kmetijski
escape	pobeg
escape	beg
orders	naročila
orders	ukazi
orders	ukaz
corner	vogal
corner	kotu
founding	ustanovne
founding	ustanovni
mill	mlin
mill	mill
mill	žaga
subjects	osebki
subjects	osebah
temperature	temperatura
temperature	temperature
temperature	temperaturo
settled	poravnana
settled	urejeno
spacewatch	spacewatch
clubnat	clubnat
miami	miami
promote	spodbujanje
values	vrednosti
values	vrednote
spot	spot
progress	progress
progress	napredek
nationalteam	nationalteam
learn	naučil
planet	planet
planet	planeta
occupied	zasedeno
occupied	zasedena
usage	uporaba
southwest	jugozahodno
southwest	jz
refused	zavrnjena
refused	zavrnjeno
truth	resnico
truth	resnice
truth	resnica
clark	clark
sufficient	zadostno
sufficient	zadostna
equal	enaka
equal	enaki
equal	enako
administrator	administrator
administrator	upravitelj
administrator	administratorja
persons	oseb
persons	osebe
factory	tovarna
factory	tovarno
fought	boril
magazines	revije
flow	tok
flow	pretok
peer	strokovnem
attacked	napaden
attacked	napadeni
attacked	napadel
attacked	napadena
attacked	napadli
generate	ustvari
shape	oblika
shape	oblike
shape	forme
shape	obliko
creator	stvarnika
creator	ustvarjalec
creator	stvarnik
option	možnost
lincoln	lincoln
starts	prične
stands	stoji
stands	stojala
carry	nositi
establishment	ustanova
establishment	ustanavljanje
establishment	ustanovitev
establishment	obrat
establishment	vzpostavitev
selling	prodaja
causes	vzroki
budget	proračun
battles	bitke
battles	bitk
sky	sky
sky	nebo
legend	legend
legend	legenda
arrested	aretirani
arrested	aretirali
arrested	aretirana
arrested	aretiran
forum	forum
metro	metro
broke	zlomil
strike	udarec
strike	stavka
strike	stavki
injury	poškodbe
injury	poškodba
ryan	ryan
zero	ničla
violence	nasilje
significantly	znatno
significantly	občutno
statements	izjave
statements	izjavi
controlled	nadzorovano
controlled	nadzorovanih
controlled	nadzorovana
controlled	nadzorovan
controlled	nadzorovani
welsh	welsh
dropped	padlo
roger	roger
roger	sprejeto
pdf	pdf
distinguished	ugleden
distinguished	razlikovati
samuel	samuel
papers	papirji
papers	papirje
detail	podrobnost
detail	podrobnosti
chapel	kapelo
chapel	kapela
frederick	frederick
thousands	tisoči
thousands	tisoče
banks	banks
banks	bankam
banks	bankah
banks	bankami
banks	banke
offensive	ofenzivo
offensive	žaljivo
kings	kralje
kings	kralji
factor	dejavnik
factor	faktor
replace	nadomesti
replace	zamenjaj
museums	muzeje
resistance	upor
resistance	odpornost
resistance	odpor
resistance	upiranje
junction	križišče
tim	tim
engines	motorje
engines	motorji
contributed	prispeval
medium	srednje
medium	srednja
medium	gojišče
device	naprava
device	pripomoček
profit	dobiček
dream	sanje
dream	dream
dream	sanjsko
enter	vstop
enter	vstopi
twelve	twelve
twelve	dvanajst
universal	univerzalno
universal	univerzalnih
universal	univerzalni
universal	univerzalne
universal	univerzalna
typical	tipičen
typical	značilno
typical	tipično
seeing	videnje
skills	veščine
skills	spretnosti
skills	sposobnosti
bought	kupljen
bought	kupljene
bought	kupljeno
bought	kupljena
bought	kupil
passenger	potniški
passenger	potnik
passenger	sopotnik
passenger	potnika
cleveland	cleveland
funding	financiranje
agriculture	kmetijstvo
parent	starši
parent	starša
parent	staršev
parent	starš
decades	desetletji
decades	desetletjih
decades	desetletij
decades	desetletja
receiving	sprejemam
receiving	prejemanje
signal	signal
reform	reforme
reform	reformo
reform	reforma
organisation	organizacijo
organisation	organizacija
column	stolpec
column	kolona
utah	utah
managers	upravljavci
managers	upravitelji
qualified	kvalificirano
qualified	usposobljena
qualified	kvalificiran
qualified	usposobljeno
qualified	usposobljen
ukrainian	ukrajinski
gay	gej
gay	gay
amateur	amater
amateur	amatersko
amateur	amaterski
obviously	očitno
flora	flora
gene	gene
gene	gen
soul	duša
soul	duši
soul	soul
soul	dušo
alt	alt
discussions	razprave
montreal	montrealu
montreal	montreal
turns	obrne
walker	walker
walker	walkerja
entrance	vstop
entrance	vhod
path	pot
nice	lep
nice	prijetno
nice	lepo
string	niz
string	vrvica
string	vrvico
string	vrvice
influenced	vplival
developing	razvijanje
developing	razvoj
abandoned	zapuščen
abandoned	zapuščena
abandoned	zapuščeni
abandoned	zapuščeno
humans	ljudje
pair	par
pair	para
flat	ravna
flat	stanovanje
sample	vzorec
contained	vseboval
contained	vsebovala
banned	prepovedan
banned	prepovedana
banned	prepovedani
moore	moore
strongly	odločno
visited	obiskal
visited	obiskala
increasing	povečanje
increasing	naraščajoče
increasing	povečevanje
attorney	odvetnik
arm	roka
mathematics	matematiko
mathematics	matematika
canal	kanal
thinking	razmišljanje
thinking	razmišljanja
dublin	dublin
suggests	namiguje
suggests	predlaga
whatever	karkoli
surname	priimek
brain	možgani
brain	možgansko
brain	možganski
brain	možgane
brain	možganska
pittsburgh	pittsburgh
blog	blog
economics	ekonomija
seventh	sedmi
seventh	sedma
seventh	seventh
seventh	sedmo
seventh	sedmega
alex	alex
alex	aleš
alex	aleks
employed	zaposlena
employed	zaposleni
employed	zaposlen
authors	avtorji
concerned	zaskrbljena
concerned	zaskrbljeni
concerned	zaskrbljen
recipients	prejemniki
recipients	prejemnike
scholars	učenjaki
controversial	sporne
controversial	sporna
controversial	sporno
controversial	sporen
controversy	polemik
expressed	izražena
expressed	izraženo
expressed	izraženi
expressed	izražen
josé	jose
josé	josé
bodies	trupla
bodies	telesa
conservation	ohranjanje
conservation	ohranitev
maps	zemljevidi
maps	zemljevide
marie	marie
arguments	trditve
arguments	utemeljitve
arguments	argumenti
chain	verigo
chain	verige
chain	veriga
focused	osredotočena
focused	osredotočen
focused	osredotočeno
readers	bralci
carl	carl
violation	kršitev
offices	pisarne
offices	uradi
wave	valovanje
wave	valovni
wave	val
circle	krog
apart	narazen
invasion	invazijo
invasion	invazija
jimmy	jimmy
opportunity	priložnost
colspan	colspan
orthodox	pravoslavne
voted	glasovalo
voted	glasoval
voted	glasovali
formal	formalno
formal	formalnega
describes	opiše
describes	opisuje
seconds	sekunde
seconds	sekund
seconds	sekundah
cycle	ciklus
cycle	cikel
doubt	dvom
doubt	dvomi
golf	golf
walls	stene
walls	zidovi
walls	sten
walls	obzidje
walls	zidov
productions	produkcije
productions	produkcija
closely	tesno
occurs	nastopi
huge	ogromen
huge	ogromno
huge	ogromna
huge	ogromne
andy	andy
indonesia	indonezije
indonesia	indonezija
mon	mon
diocese	škofije
tank	tanka
tank	rezervoar
tank	tank
advice	svetovanje
advice	nasvet
advice	nasveti
senator	senatorja
senator	senator
senator	senatorka
generated	ustvarjene
generated	ustvarjen
generated	ustvarjena
malaysia	malezija
malaysia	malezije
finland	finska
leads	vodi
lawyer	odvetnik
lawyer	pravnik
lawyer	odvetnica
lawyer	odvetnika
seattle	seattle
gain	pridobi
index	indeks
index	kazalo
saints	svetniki
runner	tekač
crisis	kriza
crisis	krizo
crisis	krize
cinema	kino
matt	matt
hollywood	hollywood
reaction	reakcijo
reaction	reakcija
reaction	odziv
medals	medalje
documents	dokumenti
documents	listine
documents	dokumentov
documents	dokumente
reader	bralec
lawrence	lawrence
pattern	vzorec
archives	arhiv
atlanta	atlanti
atlanta	atlanto
voting	glasovanje
looked	pogledal
bear	medo
bear	medvedka
bear	medvedje
bear	medved
bear	medvedek
perfect	popolna
perfect	popoln
perfect	popolno
restored	obnovljeno
restored	obnovljen
restored	obnovljena
bruce	bruce
baltimore	baltimore
baron	baron
pan	pan
pan	ponev
commune	komune
fantasy	domišljija
fantasy	fantazijo
fantasy	fantazije
fantasy	fantazija
duty	dajatev
duty	dolžnost
duty	dolžnosti
chair	stol
chair	predseduje
chair	predsedujoči
scenes	prizore
scenes	prizori
scenes	scene
broad	široka
broad	široko
opposite	nasprotno
opposite	nasproti
opposite	nasprotje
stuff	stvari
streets	ulice
streets	ceste
nick	nick
anna	ana
anna	anna
billy	billy
extension	razširitev
extension	podaljšek
extension	podaljšanje
kent	kent
parliamentary	parlamentarna
parliamentary	parlamentarno
parliamentary	parlamentarni
kelly	kelly
shooting	streljanje
ready	pripravljeni
ready	pripravljena
ready	pripravljen
pick	izberi
songwriter	kantavtor
jordan	jordan
dictionary	slovar
composition	sestavi
composition	sestava
salt	sol
salt	soli
bangladesh	bangladešu
bot	bota
bot	bot
