மற்றும்	and
எப்போது	when
முப்பது	thirty
புத்தரின்	buddha
சரக்கு	cargo
சரக்கு	inventory
சரக்கு	freight
இயல்பாக	normal
வைரஸ்	virus
பான்	bonn
பான்	pan
பரப்புரை	lobbying
பரப்புரை	propaganda
டேனியல்	daniel
ஜோன்ஸ்	jones
தீங்கு	evil
தீங்கு	mutilation
தீங்கு	harm
பலன்	benifit
பலன்	benefit
பலன்	result
பல்லவ	pallava
கோழி	poultry
கோழி	chicken
கோழி	hen
தீபம்	deepam
சக்தியை	power
எல்லோரும்	everybody
எல்லோரும்	folks
எல்லோரும்	everyone
பயணத்தை	journey
வாரங்கள்	weeks
தொழிற்சாலைகள்	factories
அளவீடு	measurement
மென்மையான	soft
மென்மையான	lightest
பகதூர்	bahadur
மூவர்	trio
சமம்	equals
நிலவியல்	geology
குடியுரிமை	citizenship
விருந்து	party
இரண்டாவதாக	secondly
மிமீ	mm
ரைட்	wright
உருவாக்குதல்	making
உருவாக்குதல்	creation
மாநாடுகள்	conferences
கட்டாய	mandatory
கட்டாய	compulsory
வரைகலை	graphics
ஸ்டுடியோ	studio
குற்றவியல்	criminal
கட்டப்பட்டுள்ளது	built
வரைபடங்கள்	maps
ஆன்லைன்	online
தொழிற்துறை	industry
அப்பா	dad
அப்பா	papa
அப்பா	daddy
அப்பா	father
முற்போக்கு	progressive
தாக்க	latency
சீனம்	chinese
கோலா	koala
கோலா	cola
குமரன்	kumaran
வெண்	ven
வெண்	venn
பங்களிப்புகள்	contributions
செயலி	application
செயலி	app
கணேஷ்	ganesh
நற்கருணை	eucharistic
கேரி	carrie
சிங்களம்	sinhala
சிங்களம்	sinhalese
மிகச்சிறிய	tiny
மாஸ்கோ	moscow
முடியுமா	interaction
அறம்	aram
நினைவகம்	memorial
நினைவகம்	memory
ரோடு	road
கர்நாடகா	karnataka
நபி	prophet
நபி	nabi
கிரந்த	grantha
இவள்	she
ஆப்கானிஸ்தான்	afghanistan
கழிவு	waste
பற்றாக்குறை	lack
கிம்	kim
ஆரம்பம்	start
ஆரம்பம்	beginning
நீரிழிவு	diabetes
துன்	thun
துன்	tun
தேவா	deva
இளைஞர்கள்	youth
இளைஞர்கள்	youths
இளைஞர்கள்	youngsters
உளவு	spy
நீடித்தது	lasted
சாம்	sam
புகைப்படம்	photo
புகைப்படம்	photography
திடீர்	sudden
கர்நாடகம்	karnataka
வகுப்புகள்	classes
சாத்தியம்	possible
ஊதியம்	pay
பாலி	pali
பாலி	bali
அக்	oct
பெரும்பான்மையாக	predominantly
சாகிப்	saqib
சாகிப்	sahib
ஆசி	aussie
ஆசி	blessing
ஆசி	blessings
முட்டைகள்	eggs
இந்தோனேசிய	indonesian
போ	go
போ	bo
கால்கள்	legs
தத்துவங்கள்	philosophies
சூடான	hot
சூடான	hottest
சூழ்நிலையில்	situation
வறுமை	poverty
கந்தக	sulfur
பிரம்மா	brahma
குடும்பத்தினர்	families
குடும்பத்தினர்	family
வலைப்பதிவு	blog
வாழ்ந்தார்	lived
முக்தி	mukti
அரங்கில்	arena
பதினைந்து	fifteen
தனியே	alone
லைவ்	live
ஆராய்ச்சியாளர்கள்	researchers
கிருஷ்ணர்	krishna
பண்டிதர்	defender
இறைவி	goddess
சர்மா	sharma
தொன்மையான	classic
சிந்தாமணி	chintamani
லிங்கம்	linga
நாராயண	narayana
வாங்கும்	purchasing
வட்டு	disk
வட்டு	disc
ஆல்பர்ட்	albert
குறிக்கோள்	objective
குறிக்கோள்	target
மீள்	reversible
மீள்	re
குரங்கு	monkey
பயன்படுத்துதல்	using
ஆண்டவர்	god
நெருப்பு	fire
சிலி	chile
பயன்கள்	uses
பத்தாவது	tenth
வாள்	sword
சமூகவியல்	sociology
அன்	ann
வரம்	unlimited
வரம்	range
பிறகும்	after
விலங்கியல்	zoology
ஹைட்ரஜன்	hydrogen
நலன்	welfare
ஐக்	ike
வள்ளி	valli
உரிமைகளை	rights
தேவர்கள்	gods
மயில்	peacock
பாதுகாக்கும்	protects
பாதுகாக்கும்	protecting
முஹம்மது	muhammad
நச்சு	toxic
மலேரியா	malaria
பிடித்த	favorite
கிளர்ச்சி	rebellion
விதம்	way
நார்வே	norway
முகப்பு	home
செடி	plants
செடி	plant
நிர்வாகி	admin
நிர்வாகி	manager
நிர்வாகி	admins
நிர்வாகி	administrator
திரிபுரா	tripura
விடுதி	hotel
விடுதி	hostel
நிபுணர்	expert
பாக்டீரியா	bacteria
லிமிடெட்	limited
லிமிடெட்	ltd
நடக்கிறது	happening
டிகிரி	degrees
டிகிரி	degree
மீடியா	media
நோ	noh
மந்திரி	jack
அலுவலகங்கள்	offices
கேட்டார்	asked
விஞ்ஞான	scientific
காரைக்குடி	karaikudi
தாத்தா	grandfather
வருடாந்திர	yearly
வருடாந்திர	annual
சிரியா	syria
அஞ்சலி	tribute
அஞ்சலி	anjali
தாள்	paper
தாள்	sheet
தாள்	sheets
குறைக்கிறது	reduces
பாத்திரங்கள்	dishes
பெரிதாக	zoom
அயோடின்	iodine
முக்கியம்	imp
முக்கியம்	important
எதிர்பாராத	unexpected
சரித்திரம்	history
தாமே	themselves
கடினம்	rough
கடினம்	hard
கடினம்	difficult
வெடிப்பு	blast
தேநீர்	tea
அகாடமி	academy
சோனி	sony
தேடும்	looking
சாதிகள்	suits
மறை	hide
கோழிக்கோடு	calicut
கோழிக்கோடு	kozhikode
விரதம்	fasting
விரைவான	quick
விரைவான	fast
ஹில்	hill
தொண்டை	throat
நிர்வாகிகள்	admins
சமஸ்கிருத	sanskrit
பம்பாய்	bombay
விழும்	fall
அம்சம்	feature
மைதானம்	ground
அம்மாள்	ammal
காவியம்	epic
பாரி	barry
பாரி	pari
ராமன்	raman
பேராலயம்	cathedral
கட்டுமானம்	construction
கொல்லம்	kollam
விட்டால்	if
கவச	armored
மாறுகிறது	changing
சந்தர்ப்பங்களில்	occasions
திரவம்	fluid
திரவம்	liquid
பரிந்துரைகள்	suggestions
பரிந்துரைகள்	recommendations
குடல்	intestine
இனப்பெருக்க	breeding
இனப்பெருக்க	reproductive
சிலநேரங்களில்	sometimes
விக்டர்	viktor
விக்டர்	victor
சக்கரவர்த்தி	chakravarthi
ஒப்பீட்டளவில்	relatively
